date,departing_international_flights,arriving_international_flights,departing__international_passengers,arriving_international_passengers,departing_domestic_flights,arriving_domestic_flights,departing__domestic_passengers,arriving_domestic_passengers
2024-03-01,4850,4854,1030463,943916,7660,7637,1062202,1061408
2024-04-01,4736,4753,929622,934031,7434,7421,1131570,1133284
2024-05-01,4872,4869,955633,948754,7699,7706,1202998,1191934
2024-06-01,4820,4822,1038331,993172,7434,7420,1188711,1215724
2024-07-01,4855,4869,995418,1042862,7509,7479,1179951,1206836
2024-08-01,4871,4879,1011542,877221,7699,7677,1096717,1153906
2024-09-01,4576,4567,879991,796799,6995,6943,1094404,1027090
2024-10-01,4757,4747,964120,883220,7424,7473,1083689,1089752
2024-11-01,4658,4647,989286,1023924,7369,7355,1102218,1125359
2024-12-01,5009,5008,1022863,1194656,7801,7793,1258557,1141140
